component,action,start,end,duration,status,run
pickplace,move_to_color_sensor,1779172354.7203925,1779172363.2512722,8.530876398086548,ok,2
pickplace,gripper_open,1779172363.2516227,1779172365.7604039,2.5087716579437256,ok,2
pickplace,move_to_home_final,1779172365.7611096,1779172374.2911088,8.529997825622559,ok,2
pickplace,gripper_close,1779172374.2914634,1779172376.800552,2.5090842247009277,ok,2
controller,pickplace_total,1779172334.6048527,1779172376.8901396,42.285292863845825,unknown,2
controller,colorsensor_total,1779172376.8902981,1779172377.3492963,0.4589979648590088,unknown,2
sorter,move_to_home_initial,1779172377.3880184,1779172386.4173265,9.029298543930054,ok,2
sorter,gripper_open,1779172386.4179637,1779172389.422108,3.0041446685791016,ok,2
sorter,move_to_color_sensor,1779172389.422431,1779172395.9488785,6.526443004608154,ok,2
sorter,gripper_close,1779172395.9492152,1779172398.957985,3.008763551712036,ok,2
sorter,move_to_conveyor,1779172398.9583373,1779172409.4980614,10.539716958999634,ok,2
sorter,gripper_close,1779172409.4986267,1779172412.5029972,3.004364490509033,ok,2
sorter,move_to_home_final,1779172412.5036917,1779172421.5387049,9.035008668899536,ok,2
controller,sorter_total,1779172377.349726,1779172421.600449,44.25071907043457,unknown,2
pickplace,move_to_home_initial,1779173657.566099,1779173663.589351,6.023247003555298,ok,3
pickplace,conveyor_belt_running_until_object_detected,1779173663.599326,1779173665.9288952,2.32956862449646,ok,3
pickplace,gripper_open,1779173665.9297361,1779173668.4338133,2.5040745735168457,ok,3
pickplace,move_to_pick,1779173668.4341547,1779173674.4606018,6.02643895149231,ok,3
pickplace,gripper_close,1779173674.461209,1779173676.9700923,2.508880376815796,ok,3
pickplace,move_to_color_sensor,1779173676.970437,1779173685.5011373,8.530692100524902,ok,3
pickplace,gripper_open,1779173685.5017397,1779173688.0103683,2.508622884750366,ok,3
pickplace,move_to_home_final,1779173688.010959,1779173696.550239,8.539279222488403,ok,3
pickplace,gripper_close,1779173696.5505729,1779173699.0544016,2.503823757171631,ok,3
controller,pickplace_total,1779173657.518916,1779173699.1244001,41.605489015579224,unknown,3
controller,colorsensor_total,1779173699.1245534,1779173699.5608122,0.43625926971435547,unknown,3
