start_ts,pickplace_duration,colorsensor_duration,sorter_duration,color,status,end_ts,total_duration
1779779367.2463157,44.61894941329956,0.414442777633667,41.99713945388794,other,ok,1779779454.2785082,87.03219246864319
1779779454.2786345,43.94671177864075,0.4181201457977295,41.74225211143494,other,ok,1779779540.38731,86.10867547988892
1779779540.3875492,44.124030351638794,0.40823817253112793,41.7595534324646,other,ok,1779779626.6808252,86.29327607154846
1779779626.6811938,43.27151393890381,0.3942112922668457,41.7425594329834,other,ok,1779779712.0903625,85.40916872024536
1779779712.090636,43.81248116493225,0.4522683620452881,41.738685131073,other,ok,1779779798.0956554,86.00501942634583
1779779798.0959933,44.02688431739807,0.5031707286834717,41.77165603637695,blue,ok,1779779884.3992848,86.30329155921936
1779779884.399577,44.000393867492676,0.42792391777038574,41.87164783477783,other,ok,1779779970.700961,86.30138421058655
1779779970.701069,44.017247676849365,0.4286317825317383,41.73374080657959,other,ok,1779780056.8822317,86.1811625957489
1779780056.8825448,43.98960041999817,0.43878793716430664,41.73232579231262,blue,ok,1779780143.0452514,86.16270661354065
1779780143.0455372,45.29315233230591,0.4217104911804199,41.76016974449158,other,ok,1779780230.5221589,87.47662162780762
1779780230.5224338,44.539764165878296,0.4077174663543701,41.770265340805054,blue,ok,1779780317.2426736,86.7202398777008
1779780317.2429483,44.53941011428833,0.40819764137268066,41.73782277107239,blue,ok,1779780403.9302187,86.68727040290833
1779780403.930514,46.96240758895874,0.41012024879455566,41.74799680709839,blue,ok,1779780493.052476,89.12196183204651
1779780493.052658,44.051451444625854,1.7784066200256348,41.754592180252075,other,ok,1779780580.638328,87.58566999435425
1779780580.6385596,44.454137563705444,0.5708661079406738,41.756919622421265,other,ok,1779780667.422126,86.78356647491455
1779780667.4224334,44.155073404312134,0.4349019527435303,41.749847173690796,other,ok,1779780753.7643974,86.34196400642395
1779780753.764898,44.2467405796051,0.43491363525390625,41.731351375579834,other,ok,1779780840.17879,86.41389203071594
1779780840.1790452,44.27430963516235,0.41640281677246094,41.746479511260986,blue,ok,1779780926.6184633,86.43941807746887
1779780926.6187184,44.33053779602051,0.4163529872894287,41.72658014297485,other,ok,1779781013.0938246,86.47510623931885
1779781013.0941074,44.027416467666626,0.4216756820678711,41.75077939033508,other,ok,1779781099.29513,86.20102262496948
1779781099.2953868,44.51067900657654,0.4025759696960449,41.92686176300049,blue,ok,1779781186.137439,86.84205222129822
1779781186.1377552,45.43195939064026,0.41669726371765137,41.78264856338501,other,ok,1779781273.7706513,87.63289618492126
1779781273.7709866,44.66857647895813,0.46378493309020996,41.73051643371582,blue,ok,1779781360.6353335,86.86434698104858
1779781360.6354258,44.66744303703308,0.42732691764831543,41.71759009361267,other,ok,1779781447.449113,86.81368708610535
