component,action,start,end,duration,status
pickplace,gripper_close,1779779495.1422021,1779779498.1508155,3.008606195449829,ok
controller,pickplace_total,1779779454.2786345,1779779498.2253509,43.94671177864075,ok
controller,colorsensor_total,1779779498.225902,1779779498.6440217,0.4181201457977295,ok
sorter,move_to_home_initial,1779779498.6865895,1779779505.2072704,6.520674467086792,ok
sorter,gripper_open,1779779505.2078578,1779779508.2176638,3.009799003601074,ok
sorter,move_to_color_sensor,1779779508.2182553,1779779514.7384384,6.5201804637908936,ok
sorter,gripper_close,1779779514.7390304,1779779517.747421,3.008388042449951,ok
sorter,throwing_block,1779779517.7479835,1779779528.2812812,10.533296346664429,ok
sorter,gripper_close,1779779528.28161,1779779531.2871606,3.0055413246154785,ok
sorter,move_to_home_final,1779779531.2877462,1779779540.3177402,9.029988527297974,ok
controller,sorter_total,1779779498.6447525,1779779540.3870025,41.74225211143494,ok
pickplace,move_to_home_initial,1779779540.429289,1779779546.9503274,6.5210301876068115,ok
pickplace,conveyor_belt_running_until_object_detected,1779779546.9603207,1779779547.8201506,0.8598270416259766,ok
pickplace,gripper_open,1779779547.8209963,1779779550.8305507,3.0095489025115967,ok
pickplace,move_to_pick,1779779550.8311734,1779779557.3612232,6.530045032501221,ok
pickplace,gripper_close,1779779557.361807,1779779560.3702712,3.0084569454193115,ok
pickplace,move_to_color_sensor,1779779560.3708682,1779779569.4104738,9.03959846496582,ok
pickplace,gripper_open,1779779569.4110727,1779779572.4207847,3.009705066680908,ok
pickplace,move_to_home_final,1779779572.4214318,1779779581.4606442,9.03920841217041,ok
pickplace,gripper_close,1779779581.4612849,1779779584.470026,3.0087366104125977,ok
controller,pickplace_total,1779779540.3875492,1779779584.5115812,44.124030351638794,ok
controller,colorsensor_total,1779779584.511924,1779779584.9201622,0.40823817253112793,ok
sorter,move_to_home_initial,1779779584.9593384,1779779591.4865453,6.52720046043396,ok
sorter,gripper_open,1779779591.4871197,1779779594.4968805,3.009755849838257,ok
sorter,move_to_color_sensor,1779779594.4974947,1779779601.0267112,6.5292158126831055,ok
sorter,gripper_close,1779779601.0270395,1779779604.0305943,3.0035457611083984,ok
sorter,throwing_block,1779779604.0311675,1779779614.5703452,10.539171695709229,ok
sorter,gripper_close,1779779614.5709293,1779779617.5771966,3.0062623023986816,ok
sorter,move_to_home_final,1779779617.5777638,1779779626.6169786,9.039210557937622,ok
controller,sorter_total,1779779584.920951,1779779626.6805046,41.7595534324646,ok
pickplace,move_to_home_initial,1779779626.7284963,1779779633.2493222,6.520818710327148,ok
pickplace,conveyor_belt_running_until_object_detected,1779779633.2586565,1779779633.271604,0.012948274612426758,ok
pickplace,gripper_open,1779779633.2722838,1779779636.2795272,3.0072357654571533,ok
pickplace,move_to_pick,1779779636.2802224,1779779642.809766,6.529541015625,ok
pickplace,gripper_close,1779779642.810356,1779779645.819492,3.009134292602539,ok
pickplace,move_to_color_sensor,1779779645.8198228,1779779654.8497748,9.029943943023682,ok
pickplace,gripper_open,1779779654.8504179,1779779657.8593748,3.008951187133789,ok
pickplace,move_to_home_final,1779779657.859945,1779779666.8892965,9.029350757598877,ok
pickplace,gripper_close,1779779666.8896186,1779779669.8933914,3.003769636154175,ok
controller,pickplace_total,1779779626.6811938,1779779669.9527042,43.27151393890381,ok
controller,colorsensor_total,1779779669.9528282,1779779670.3470402,0.3942112922668457,ok
sorter,move_to_home_initial,1779779670.3796153,1779779676.9058251,6.526201009750366,ok
sorter,gripper_open,1779779676.906415,1779779679.9160237,3.009601593017578,ok
sorter,move_to_color_sensor,1779779679.9166136,1779779686.437231,6.5206122398376465,ok
sorter,gripper_close,1779779686.4378111,1779779689.4459763,3.00816011428833,ok
sorter,throwing_block,1779779689.4465988,1779779699.9856772,10.539073467254639,ok
sorter,gripper_close,1779779699.9862561,1779779702.9905112,3.0042476654052734,ok
sorter,move_to_home_final,1779779702.991089,1779779712.0257716,9.034676790237427,ok
controller,sorter_total,1779779670.347421,1779779712.0899844,41.7425594329834,ok
